,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"rockstar (feat. 21 Savage)","Post Malone",1243215,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
56,"High Hopes","Panic! At The Disco",1242758,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
57,"Don't Cry (feat. XXXTENTACION)","Lil Wayne",1239937,https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne
58,changes,XXXTENTACION,1222938,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
59,"God's Plan",Drake,1212701,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
60,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",1202089,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
61,"Jackie Chan",Tiësto,1178599,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
62,"no tears left to cry","Ariana Grande",1151180,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
63,"Sweet but Psycho","Ava Max",1147540,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
64,"Love Someone","Lukas Graham",1147465,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
65,Morph,"Twenty One Pilots",1091739,https://open.spotify.com/track/01vv2AjxgP4uUyb8waYO5Y
66,"Mala Mía",Maluma,1081601,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
67,2002,Anne-Marie,1081488,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
68,"Sin Pijama","Becky G",1079304,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
69,"New Patek","Lil Uzi Vert",1048825,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
70,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1029606,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
71,"Shape of You","Ed Sheeran",1022629,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
72,"Psycho (feat. Ty Dolla $ign)","Post Malone",1021380,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
73,Chlorine,"Twenty One Pilots",1020293,https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau
74,Uproar,"Lil Wayne",1007786,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
75,"My Blood","Twenty One Pilots",1007320,https://open.spotify.com/track/5HeKOKc4phmLn8e4I7EkzD
76,"Amigos Con Derechos",Reik,995784,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
77,"Praise The Lord (Da Shine)","A$AP Rocky",983418,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
78,Believer,"Imagine Dragons",979978,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
79,"Ya No Tiene Novio","Sebastian Yatra",978406,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
80,"Happy Now",Zedd,977975,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
81,"No Stylist","French Montana",976537,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
82,Perfect,"Ed Sheeran",968940,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
83,"lovely (with Khalid)","Billie Eilish",952456,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
84,REMEDY,Alesso,949689,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
85,IDGAF,"Dua Lipa",926492,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
86,"Yes Indeed","Lil Baby",923568,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
87,"There's No Way (feat. Julia Michaels)",Lauv,918328,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
88,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",915015,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
89,"Let It Fly (feat. Travis Scott)","Lil Wayne",912850,https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h
90,Havana,"Camila Cabello",910340,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
91,FRIENDS,Marshmello,908723,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
92,"Ocean (feat. Khalid)","Martin Garrix",905808,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
93,"The Middle",Zedd,897941,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
94,Asesina,Brytiago,884826,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
95,Culpables,"Karol G",884632,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
96,Clandestino,Shakira,873085,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
97,Thunder,"Imagine Dragons",862374,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
98,"I Like Me Better",Lauv,857112,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
99,"New Rules","Dua Lipa",856712,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
100,"High On Life (feat. Bonn)","Martin Garrix",839931,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
101,Nevermind,"Dennis Lloyd",835552,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
102,"Love Lies (with Normani)",Khalid,823231,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
103,"No Me Acuerdo",Thalía,822407,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
104,STARGAZING,"Travis Scott",822041,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
105,"Toda - Remix","Alex Rose",817219,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
106,"Everybody Dies In Their Nightmares",XXXTENTACION,815269,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
107,"Leave Me Alone","Flipp Dinero",811264,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
108,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",810321,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
109,"What About Me (feat. Sosamann)","Lil Wayne",808450,https://open.spotify.com/track/3JX0dOCIAiaR8MP3ryXWuM
110,Trip,"Ella Mai",808215,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
111,"Nice For What",Drake,808078,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
112,"All Girls Are The Same","Juice WRLD",805973,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
113,"Born To Be Yours",Kygo,805445,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
114,"I'm a Mess","Bebe Rexha",804406,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
115,"The Ringer",Eminem,798367,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
116,"SLOW DANCING IN THE DARK",Joji,790832,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
117,"Lean Wit Me","Juice WRLD",789915,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
118,"I Fall Apart","Post Malone",787976,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
119,"Say My Name","David Guetta",782699,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
120,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",775299,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
121,"Too Good At Goodbyes","Sam Smith",768979,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
122,Jumpsuit,"Twenty One Pilots",763893,https://open.spotify.com/track/1E1uGhNdBe6Dddbgs2KqtZ
123,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",753598,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
124,"Nico And The Niners","Twenty One Pilots",751814,https://open.spotify.com/track/5SehvGGC53A7SZKCLXQcyt
125,"Look At Me!",XXXTENTACION,748963,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
126,"XO TOUR Llif3","Lil Uzi Vert",744258,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
127,"Look Alive (feat. Drake)","BlocBoy JB",740608,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
128,"Say You Won't Let Go","James Arthur",740104,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
129,Smithereens,"Twenty One Pilots",737218,https://open.spotify.com/track/5G6Gt9RtNaeIE418pd4yre
130,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,736742,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
131,Dedicate,"Lil Wayne",736346,https://open.spotify.com/track/0Y7di9ZCmB6Elad5WISaPc
132,Darkside,"Alan Walker",732164,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
133,"Neon Gravestones","Twenty One Pilots",724207,https://open.spotify.com/track/0sXvjZV7p4uvyPN4uQo3FH
134,"Tints (feat. Kendrick Lamar)","Anderson .Paak",710692,https://open.spotify.com/track/1gnwGVoG7V08vMX3hyr90x
